name,ring,quadrant,isNew,description
Java,adopt,languages & frameworks,FALSE,
Node,adopt,languages & frameworks,FALSE,
JUnit,adopt,languages & frameworks,FALSE,
Mockito,adopt,languages & frameworks,FALSE,
Python,adopt,languages & frameworks,FALSE,
Typescript,adopt,languages & frameworks,FALSE,
Spring,adopt,languages & frameworks,FALSE,
Spring Cloud,adopt,languages & frameworks,FALSE,
Spock,adopt,languages & frameworks,FALSE,
Spring Data,,languages & frameworks,FALSE,
SQL,adopt,languages & frameworks,FALSE,
Swift,adopt,languages & frameworks,FALSE,
OpenAPI / Swagger,adopt,languages & frameworks,FALSE,
Resilience4J,adopt,languages & frameworks,FALSE,
Terraform,adopt,languages & frameworks,FALSE,
NX,adopt,languages & frameworks,FALSE,
Angular,adopt,languages & frameworks,FALSE,
Lombok,adopt,languages & frameworks,FALSE,Consider using java 17+ records over lombok
Jest,adopt,languages & frameworks,FALSE,
Redis,adopt,languages & frameworks,FALSE,
fp-ts,adopt,languages & frameworks,FALSE,
Cypress,adopt,languages & frameworks,FALSE,Needs more adoption
"HTTP/2,HTTP/3",adopt,languages & frameworks,FALSE,
REST Assured,adopt,languages & frameworks,FALSE,
Archunit,adopt,languages & frameworks,FALSE,
Mobile Test Framework,trial,languages & frameworks,FALSE,
express.js,trial,languages & frameworks,FALSE,
"Telemetry, monitors and alerts as code",trial,languages & frameworks,TRUE,
Spring Boot OCI Images,assess,languages & frameworks,TRUE,"""new"" in boot 3.x; allows for creating images without a docker installation. Consider limiting the scope of docker dependencies to runtime. https://docs.spring.io/spring-boot/docs/current/reference/html/container-images.html"
Terraform cdktf,assess,languages & frameworks,FALSE,
Spring Cloud Native Build Pack,assess,languages & frameworks,FALSE,
Karate,assess,languages & frameworks,TRUE,Optix / Kitt to review
HTMX,assess,languages & frameworks,TRUE,
AWS CDK,assess,languages & frameworks,TRUE,
Guava Cache,hold,languages & frameworks,FALSE,
SAS Macro,hold,languages & frameworks,FALSE,
Groovy for Testing,hold,languages & frameworks,FALSE,
Jenkins Pipelines,hold,languages & frameworks,FALSE,
TestNG,hold,languages & frameworks,FALSE,
WireMock,hold,languages & frameworks,FALSE,vs MockServer / ref impl
Selenium,hold,languages & frameworks,FALSE,
Spring Data REST,hold,languages & frameworks,FALSE,
RestEasy,hold,languages & frameworks,FALSE,
Ember,hold,languages & frameworks,FALSE,
Cucumber,hold,languages & frameworks,FALSE,
PowerMock for Statics,hold,languages & frameworks,FALSE,
Spring Cloud Contract with WireMock,hold,languages & frameworks,FALSE,
Javascript,hold,languages & frameworks,FALSE,Our preference is to use typescript going forward
Pact,hold,languages & frameworks,FALSE,
Vavr,hold,languages & frameworks,FALSE,
AWS ALB,adopt,platforms,FALSE,
AWS SNS,adopt,platforms,FALSE,
AWS SQS,adopt,platforms,FALSE,
AWS Lambda,adopt,platforms,FALSE,
AWS API Gateway,adopt,platforms,FALSE,
AWS Cognito,adopt,platforms,FALSE,
AWS DynamoDB,adopt,platforms,FALSE,
AWS RDS - PostgreSQL,adopt,platforms,FALSE,
AWS ECS / Fargate,adopt,platforms,FALSE,
AWS Parameter Store,adopt,platforms,FALSE,
AWS SES (Simple Email Service),adopt,platforms,FALSE,
AWS S3,adopt,platforms,FALSE,
